regime,M,trial,k,segment_i,delta_scale,delta_response_l2,amplification_ratio
uniform_h=1.00,20,10,4,10,1e-06,3.1309716410295113e-16,3.1309716410295113e-10
uniform_h=1.00,20,10,4,10,1e-05,3.7605108088153517e-16,3.760510808815352e-11
uniform_h=1.00,20,10,4,10,0.0001,0.0,0.0
uniform_h=1.00,20,10,4,10,0.001,4.716719590932011e-16,4.716719590932011e-13
uniform_h=1.00,20,10,6,10,1e-06,4.3709524189038457e-16,4.3709524189038466e-10
uniform_h=1.00,20,10,6,10,1e-05,3.1401849173675503e-16,3.14018491736755e-11
uniform_h=1.00,20,10,6,10,0.0001,0.0,0.0
uniform_h=1.00,20,10,6,10,0.001,4.3709524189038457e-16,4.3709524189038454e-13
uniform_h=1.00,20,10,8,10,1e-06,3.524577331304947e-15,3.524577331304947e-09
uniform_h=1.00,20,10,8,10,1e-05,0.0,0.0
uniform_h=1.00,20,10,8,10,0.0001,0.0,0.0
uniform_h=1.00,20,10,8,10,0.001,0.0,0.0
uniform_h=1.00,20,10,10,10,1e-06,3.4021390442302073e-15,3.4021390442302073e-09
uniform_h=1.00,20,10,10,10,1e-05,1.5364441028179465e-15,1.5364441028179464e-10
uniform_h=1.00,20,10,10,10,0.0001,1.801468360196679e-15,1.801468360196679e-11
uniform_h=1.00,20,10,10,10,0.001,9.215532950890176e-15,9.215532950890175e-12
uniform_h=1.00,20,10,12,10,1e-06,1.778299345222047e-14,1.778299345222047e-08
uniform_h=1.00,20,10,12,10,1e-05,1.4985761948105062e-15,1.4985761948105062e-10
uniform_h=1.00,20,10,12,10,0.0001,2.2068082730211937e-15,2.206808273021193e-11
uniform_h=1.00,20,10,12,10,0.001,1.503892042197298e-14,1.5038920421972978e-11
uniform_h=1.00,20,11,2,10,1e-06,9.813077866773594e-17,9.813077866773595e-11
uniform_h=1.00,20,11,2,10,1e-05,3.925231146709438e-17,3.925231146709438e-12
uniform_h=1.00,20,11,2,10,0.0001,0.0,0.0
uniform_h=1.00,20,11,2,10,0.001,3.925231146709438e-17,3.925231146709438e-14
uniform_h=1.00,20,11,4,10,1e-06,1.3877787807814457e-17,1.3877787807814457e-11
uniform_h=1.00,20,11,4,10,1e-05,1.8107721364984798e-16,1.8107721364984798e-11
uniform_h=1.00,20,11,4,10,0.0001,1.3877787807814457e-17,1.3877787807814452e-13
uniform_h=1.00,20,11,4,10,0.001,4.588105842142954e-16,4.588105842142954e-13
uniform_h=1.00,20,11,6,10,1e-06,4.168167635223278e-15,4.168167635223278e-09
uniform_h=1.00,20,11,6,10,1e-05,3.640638928139358e-15,3.640638928139358e-10
uniform_h=1.00,20,11,6,10,0.0001,5.125396027766235e-16,5.125396027766234e-12
uniform_h=1.00,20,11,6,10,0.001,0.0,0.0
uniform_h=1.00,20,11,8,10,1e-06,3.823928674774891e-15,3.823928674774891e-09
uniform_h=1.00,20,11,8,10,1e-05,2.6106856736884586e-15,2.6106856736884585e-10
uniform_h=1.00,20,11,8,10,0.0001,1.1031778362840992e-15,1.1031778362840992e-11
uniform_h=1.00,20,11,8,10,0.001,2.6106856736884586e-15,2.6106856736884587e-12
uniform_h=1.00,20,11,10,10,1e-06,4.535792057973599e-15,4.535792057973601e-09
uniform_h=1.00,20,11,10,10,1e-05,1.3744791124997314e-15,1.3744791124997312e-10
uniform_h=1.00,20,11,10,10,0.0001,4.6581275938619935e-15,4.658127593861993e-11
uniform_h=1.00,20,11,10,10,0.001,1.2734713619360555e-15,1.2734713619360555e-12
uniform_h=1.00,20,11,12,10,1e-06,5.0799954571899904e-15,5.07999545718999e-09
uniform_h=1.00,20,11,12,10,1e-05,3.0249280094377414e-15,3.024928009437741e-10
uniform_h=1.00,20,11,12,10,0.0001,5.3993423548323744e-15,5.3993423548323744e-11
uniform_h=1.00,20,11,12,10,0.001,5.302332065060134e-15,5.302332065060134e-12
uniform_h=1.00,20,12,2,10,1e-06,2.618455766672135e-16,2.618455766672135e-10
uniform_h=1.00,20,12,2,10,1e-05,2.8609792490763985e-16,2.8609792490763984e-11
uniform_h=1.00,20,12,2,10,0.0001,2.618455766672135e-16,2.618455766672135e-12
uniform_h=1.00,20,12,2,10,0.001,0.0,0.0
uniform_h=1.00,20,12,4,10,1e-06,6.59856522820242e-16,6.598565228202419e-10
uniform_h=1.00,20,12,4,10,1e-05,6.305260486575263e-16,6.305260486575262e-11
uniform_h=1.00,20,12,4,10,0.0001,1.583137384896213e-15,1.5831373848962126e-11
uniform_h=1.00,20,12,4,10,0.001,5.274529353390807e-16,5.274529353390807e-13
uniform_h=1.00,20,12,6,10,1e-06,2.766661520853722e-15,2.766661520853722e-09
uniform_h=1.00,20,12,6,10,1e-05,2.059156955057807e-15,2.0591569550578067e-10
uniform_h=1.00,20,12,6,10,0.0001,8.08254562088053e-16,8.08254562088053e-12
uniform_h=1.00,20,12,6,10,0.001,2.8393560444588434e-15,2.8393560444588434e-12
uniform_h=1.00,20,12,8,10,1e-06,1.0012092960599302e-14,1.00120929605993e-08
uniform_h=1.00,20,12,8,10,1e-05,2.0171186749324106e-15,2.0171186749324105e-10
uniform_h=1.00,20,12,8,10,0.0001,6.777139917546001e-15,6.777139917545999e-11
uniform_h=1.00,20,12,8,10,0.001,1.9412168033057707e-15,1.9412168033057706e-12
uniform_h=1.00,20,12,10,10,1e-06,3.6117459350463214e-15,3.6117459350463207e-09
uniform_h=1.00,20,12,10,10,1e-05,1.6741582506043878e-15,1.6741582506043877e-10
uniform_h=1.00,20,12,10,10,0.0001,3.5027327489717063e-15,3.502732748971706e-11
uniform_h=1.00,20,12,10,10,0.001,1.3699703393889085e-15,1.3699703393889084e-12
uniform_h=1.00,20,12,12,10,1e-06,3.4986340698260395e-15,3.4986340698260394e-09
uniform_h=1.00,20,12,12,10,1e-05,1.0841608158890691e-14,1.084160815889069e-09
uniform_h=1.00,20,12,12,10,0.0001,2.152677515030749e-14,2.1526775150307486e-10
uniform_h=1.00,20,12,12,10,0.001,5.99218386827189e-15,5.99218386827189e-12
uniform_h=1.00,20,13,2,10,1e-06,2.7755575615628914e-16,2.775557561562891e-10
uniform_h=1.00,20,13,2,10,1e-05,2.7755575615628914e-16,2.7755575615628907e-11
uniform_h=1.00,20,13,2,10,0.0001,2.7755575615628914e-16,2.7755575615628914e-12
uniform_h=1.00,20,13,2,10,0.001,2.7755575615628914e-16,2.7755575615628914e-13
uniform_h=1.00,20,13,4,10,1e-06,0.0,0.0
